Date,Close,High,Low,Open,Volume,MA20
,KO,KO,KO,KO,KO,
2024-01-02,56.383644104003906,56.44019870271088,55.29970433327489,55.42223749935887,16322600,56.383644104003906
2024-01-03,56.515602111816406,56.74181691457664,56.32709037544326,56.48732660980724,14830600,56.449623107910156
2024-01-04,56.32708740234375,56.798364920620116,56.23283333691332,56.600429225878955,12912900,56.40877787272135
2024-01-05,56.24224853515625,56.50616634921951,55.69556856889393,56.364781677558426,10412800,56.36714553833008
2024-01-08,56.656982421875,56.722960985157684,56.006617161571334,56.251683478531625,11554600,56.425112915039065
2024-01-09,56.55330276489258,56.68525989605405,56.19513084062419,56.54387879647911,10493700,56.44647789001465
2024-01-10,56.741817474365234,56.93975318150674,56.5344542027528,56.76066900774476,12258000,56.48866925920759
2024-01-11,56.37421417236328,56.798361033333656,56.26110498691343,56.788937065660434,13754200,56.47436237335205
2024-01-12,56.9208984375,56.98687700282564,56.430769383965135,56.6287086755042,13218000,56.52397749159071
2024-01-16,56.543880462646484,56.95860340074054,56.4119197320344,56.920900334851375,11826900,56.52596778869629
2024-01-17,56.543880462646484,56.75124013391238,56.38364423039865,56.42134729628782,8982100,56.52759621360085
2024-01-18,56.7041130065918,56.7700915740088,56.11030230427651,56.26111097202426,10397700,56.5423059463501
2024-01-19,56.39306640625,56.81721327250765,56.21397865816956,56.798361741364346,14392600,56.53082598172701
2024-01-22,56.14799880981445,56.619276290907784,56.02546565797287,56.32708295822766,14314300,56.50348118373326
2024-01-23,56.41191482543945,56.55329951244534,56.04431895389847,56.1102975156847,14481600,56.49737675984701
2024-01-24,55.52592086791992,56.37422189722564,55.50706933442842,56.36479433269871,16370500,56.43666076660156
2024-01-25,55.76155090332031,55.77097487080779,55.290273426586516,55.62016622207545,14899700,56.39694842170267
2024-01-26,55.95949935913086,56.07260856818029,55.73328813215724,55.84639374564405,13025100,56.372645696004234
2024-01-29,56.29880905151367,56.35536364524594,55.77097696336503,55.9312131811588,14547100,56.36875955682052
2024-01-30,56.459049224853516,56.57215482468033,56.034898731050205,56.41191859566033,22061500,56.37327404022217
2024-01-31,56.07260513305664,56.97745717664325,55.88409339175217,56.64756073046981,22837000,56.3577220916748
2024-02-01,57.47700500488281,57.50528050505878,55.95006687082538,56.148002563181294,15870900,56.405792236328125
2024-02-02,57.062278747558594,57.37332001797091,56.770085412452104,57.326192988582605,17544900,56.44255180358887
2024-02-05,56.59101104736328,56.91147993640073,56.44020236990816,56.91147993640073,12759600,56.45998992919922
2024-02-06,56.49674987792969,56.60043151142713,56.25168714057758,56.51560141088943,12775200,56.451978302001955
2024-02-07,56.543880462646484,56.75124013391238,56.496749832503895,56.61928299886256,10259900,56.45150718688965
2024-02-08,56.39306640625,56.525023528691214,55.99719144336442,56.449617404117994,12874800,56.43406963348389
2024-02-09,56.13857650756836,56.15742803883874,55.639019917808234,56.05374641463264,15235300,56.42228775024414
2024-02-12,56.27053451538086,56.32708551451894,55.57304222966124,56.232831452247474,13516800,56.389769554138184
2024-02-13,55.94063949584961,57.17538787742362,55.41281098111917,56.08202418833074,24195700,56.35960750579834
2024-02-14,55.88409423828125,56.166860056740084,55.64845545697182,55.770985034447754,15872500,56.32661819458008
2024-02-15,55.987770080566406,56.16685424141734,55.73327979163377,56.00661801702475,13695800,56.29080104827881
2024-02-16,55.97834396362305,56.195131194118034,55.57304500361349,55.9406408986077,13947100,56.27006492614746
2024-02-20,57.21309280395508,57.34504993693329,56.09144998251581,56.17628008165355,18339300,56.323319625854495
2024-02-21,57.722068786621094,57.75976825334385,57.33562138710791,57.486430040684716,14373000,56.388827323913574
